name,model,data,epochs,seed,mixup,cutmix,freeze,batch,imgsz,optimizer,lr0,weight_decay
aitod_b1617_pretrain_s1_p0,yolov8n.pt,aitod_b1617_iv.yaml,100,1,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b1617_pretrain_s2_p0,yolov8n.pt,aitod_b1617_iv.yaml,100,2,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b1617_pretrain_s3_p0,yolov8n.pt,aitod_b1617_iv.yaml,100,3,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b1617_scratch_s1_p0,yolov8n.yaml,aitod_b1617_iv.yaml,100,1,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b1617_scratch_s2_p0,yolov8n.yaml,aitod_b1617_iv.yaml,100,2,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b1617_scratch_s3_p0,yolov8n.yaml,aitod_b1617_iv.yaml,100,3,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b3235_pretrain_s1_p0,last.pt,aitod_b3235_iv.yaml,100,1,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b3235_scratch_s1_p0,yolov8n.yaml,aitod_b3235_iv.yaml,100,1,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b647_pretrain_s1_p0,yolov8n.pt,aitod_b647_iv.yaml,100,1,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b647_pretrain_s2_p0,yolov8n.pt,aitod_b647_iv.yaml,100,2,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b647_scratch_s1_p0,yolov8n.yaml,aitod_b647_iv.yaml,100,1,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
aitod_b647_scratch_s2_p0,yolov8n.yaml,aitod_b647_iv.yaml,100,2,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
cutmix_only_s42_p0,yolov8n.pt,visdrone25_iv.yaml,50,42,0.0,0.3,null,16,640,AdamW,0.000714,0.0005
cutmix_only_s7_p0,yolov8n.pt,visdrone25_iv.yaml,50,7,0.0,0.3,null,16,640,AdamW,0.000714,0.0005
decouple100_nomixup_p0,yolov8n.pt,visdrone25_iv.yaml,100,42,0.0,0.0,null,16,640,AdamW,0.000714,0.0005
decouple100_nomixup_s1_p0,yolov8n.pt,visdrone25_iv.yaml,100,1,0.0,0.0,null,16,640,AdamW,0.000714,0.0005
decouple100_nomixup_s2_p0,yolov8n.pt,visdrone25_iv.yaml,100,2,0.0,0.0,null,16,640,AdamW,0.000714,0.0005
decouple100_nomixup_s3_p0,yolov8n.pt,visdrone25_iv.yaml,100,3,0.0,0.0,null,16,640,AdamW,0.000714,0.0005
decouple100_nomixup_s7_p0,yolov8n.pt,visdrone25_iv.yaml,100,7,0.0,0.0,null,16,640,AdamW,0.000714,0.0005
decouple50_mixup03_p0,yolov8n.pt,visdrone25_iv.yaml,50,42,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
decouple50_mixup03_s7_p0,yolov8n.pt,visdrone25_iv.yaml,50,7,0.3,0.0,null,16,640,AdamW,0.000714,0.0005
distill_p0,yolov8n.pt,visdrone25_iv.yaml,50,42,0.1,0.0,null,16,640,AdamW,0.000714,0.0005
distill_s1_p0,yolov8n.pt,visdrone25_iv.yaml,50,1,0.1,0.0,null,16,640,AdamW,0.000714,0.0005
distill_s2_p0,yolov8n.pt,visdrone25_iv.yaml,50,2,0.1,0.0,null,16,640,AdamW,0.000714,0.0005
distill_s3_p0,yolov8n.pt,visdrone25_iv.yaml,50,3,0.1,0.0,null,16,640,AdamW,0.000714,0.0005
