config,label,seeds,n,mean50,sd50,min50,max50,mean95,sd95
scratch50,From scratch (50 ep),"1,2,3,7,42",5,0.10106,0.0017798876369029579,0.0992,0.104,0.05158,0.000846758525200661
exp1_50,COCO pretraining (50 ep),"1,2,3,7,42",5,0.21062,0.0026985181118532463,0.2066,0.2136,0.12054,0.001585244460643212
mixup01,+ mixup 0.1 (50 ep),"1,2,3,7,42",5,0.2128,0.001793042107704104,0.2106,0.2148,0.1216,0.0011661903789690659
mixup05,+ mixup 0.5 (50 ep),"1,2,3,7,42",5,0.21134,0.001353883303686105,0.2096,0.2127,0.12152,0.0006457553716385168
mixup_cutmix,+ mixup 0.3 + CutMix 0.3 (50 ep),"1,2,3,7,42",5,0.2115,0.0022505554869853843,0.2087,0.2146,0.12118,0.0012457929201917948
distill,+ knowledge distillation (50 ep),"1,2,3,7,42",5,0.2136,0.0013435028842544395,0.2116,0.2151,0.12302,0.0005761944116355163
freeze10,+ freeze 10 modules (50 ep),"1,2,3,7,42",5,0.16958,0.0011966620241321247,0.1681,0.1709,0.09648000000000001,0.0006870225614927084
freeze20,+ freeze 20 modules (50 ep),"1,2,3,7,42",5,0.11616,0.0015820872289478846,0.1145,0.1182,0.06386,0.000884872872225157
proposed100,Recommended (100 ep + mixup 0.3),"1,2,3,7,42",5,0.22764,0.0035613199800074206,0.2234,0.233,0.13064,0.00216171228427836
scratch100_nomixup,From scratch (100 ep),"7,42",2,0.1374,0.0018384776310850174,0.1361,0.1387,0.07264999999999999,0.0014849242404917531
scratch100_mixup03,From scratch (100 ep + mixup 0.3),"7,42",2,0.1348,0.003676955262170035,0.1322,0.1374,0.07150000000000001,0.0021213203435596346
decouple50_mixup03,50 ep + mixup 0.3 (decoupling),"7,42",2,0.21315,0.0036062445840513878,0.2106,0.2157,0.12290000000000001,0.0015556349186104
decouple100_nomixup,"100 ep, no mixup (decoupling)","1,2,3,7,42",5,0.22306,0.003169858040985433,0.22,0.2283,0.12592,0.001863330351816334
scale10,Training data 10%,"1,7,42",3,0.1853,0.002705549851693731,0.1827,0.1881,0.1054,0.0013527749258468722
scale50,Training data 50%,"1,7,42",3,0.25083333333333335,0.0017502380790433449,0.2491,0.2526,0.1451,0.0013856406460550934
scale100,Training data 100%,"1,7,42",3,0.278,0.0011532562594670922,0.2768,0.2791,0.16126666666666667,0.0009291573243177502
neudet_scratch,"NEU-DET, from scratch","1,2,3,7,42",5,0.69422,0.0058221130184839195,0.6857,0.702,0.36324,0.002915990397789394
neudet_proposed,"NEU-DET, pretrained","1,2,3,7,42",5,0.74256,0.013733644818474068,0.727,0.7614,0.40218,0.006728075504927095
v5n_rec,YOLOv5n (recommended cfg),"7,42",2,0.21095,0.0020506096654409976,0.2095,0.2124,0.12040000000000001,0.0007071067811865383
v8s_rec,YOLOv8s (recommended cfg),"7,42",2,0.28875,0.0044547727214752295,0.2856,0.2919,0.1693,0.0035355339059327407
aitod_b647_scratch,"AI-TOD 647 imgs, from scratch","1,2",2,0.03465,0.0013435028842544395,0.0337,0.0356,0.009899999999999999,0.00042426406871192964
aitod_b647_pretrain,"AI-TOD 647 imgs, pretrained","1,2",2,0.17475000000000002,0.010535891039679555,0.1673,0.1822,0.06870000000000001,0.0029698484809834963
aitod_b1617_scratch,"AI-TOD 1617 imgs, from scratch","1,2,3",3,0.144,0.0034000000000000002,0.1406,0.1474,0.05096666666666667,0.00397030645332742
aitod_b1617_pretrain,"AI-TOD 1617 imgs, pretrained","1,2,3",3,0.25183333333333335,0.01855379565839112,0.2335,0.2706,0.10076666666666667,0.009231648462400061
aitod_b3235_scratch,"AI-TOD 3235 imgs, from scratch",1,1,0.1994,0.0,0.1994,0.1994,0.0779,0.0
aitod_b3235_pretrain,"AI-TOD 3235 imgs, pretrained",1,1,0.2886,0.0,0.2886,0.2886,0.1174,0.0
tta_flip,TTA flip-only,"1,2,3,7,42",5,0.22866,0.00354090383941727,0.2245,0.2342,0.13308,0.002428373941550194
tta_scale,TTA multi-scale (scale only),"1,2,3,7,42",5,0.21632,0.0020969024774652708,0.2146,0.2197,0.12698,0.0013046072205840356
tta_full,TTA multi-scale + flip,"1,2,3,7,42",5,0.21618,0.0020067386476569434,0.2147,0.2194,0.12692,0.0010756393447619948
