layer,model_a,model_b,cka
2,pretrained,freeze10,1.0000
2,pretrained,freeze20,1.0000
2,pretrained,full_ft,0.9477
2,freeze10,freeze20,1.0000
2,freeze10,full_ft,0.9477
2,freeze20,full_ft,0.9477
4,pretrained,freeze10,1.0000
4,pretrained,freeze20,1.0000
4,pretrained,full_ft,0.8783
4,freeze10,freeze20,1.0000
4,freeze10,full_ft,0.8783
4,freeze20,full_ft,0.8783
6,pretrained,freeze10,1.0000
6,pretrained,freeze20,1.0000
6,pretrained,full_ft,0.8851
6,freeze10,freeze20,1.0000
6,freeze10,full_ft,0.8851
6,freeze20,full_ft,0.8851
9,pretrained,freeze10,0.9991
9,pretrained,freeze20,0.9991
9,pretrained,full_ft,0.6047
9,freeze10,freeze20,1.0000
9,freeze10,full_ft,0.6018
9,freeze20,full_ft,0.6018
