config,seed1,seed2,seed3,seed7,seed42
scratch50,0.0992,0.1004,0.1007,0.1010,0.1040
exp1_50,0.2136,0.2095,0.2122,0.2066,0.2112
mixup01,0.2145,0.2120,0.2121,0.2148,0.2106
mixup05,0.2096,0.2127,0.2121,0.2121,0.2102
mixup_cutmix,0.2127,0.2111,0.2104,0.2146,0.2087
distill,0.2132,0.2145,0.2151,0.2136,0.2116
freeze10,0.1693,0.1707,0.1709,0.1689,0.1681
freeze20,0.1182,0.1145,0.1157,0.1150,0.1174
proposed100,0.2234,0.2267,0.2288,0.2330,0.2263
scratch100_nomixup,,,,0.1361,0.1387
scratch100_mixup03,,,,0.1322,0.1374
decouple50_mixup03,,,,0.2106,0.2157
decouple100_nomixup,0.2216,0.2283,0.2200,0.2220,0.2234
scale10,0.1851,,,0.1827,0.1881
scale50,0.2508,,,0.2491,0.2526
scale100,0.2781,,,0.2791,0.2768
neudet_scratch,0.7020,0.6857,0.6938,0.6939,0.6957
neudet_proposed,0.7315,0.7614,0.7270,0.7480,0.7449
v5n_rec,,,,0.2124,0.2095
v8s_rec,,,,0.2919,0.2856
aitod_b647_scratch,0.0356,0.0337,,,
aitod_b647_pretrain,0.1822,0.1673,,,
aitod_b1617_scratch,0.1406,0.1440,0.1474,,
aitod_b1617_pretrain,0.2335,0.2514,0.2706,,
aitod_b3235_scratch,0.1994,,,,
aitod_b3235_pretrain,0.2886,,,,
tta_flip,0.2245,0.2278,0.2292,0.2342,0.2276
tta_scale,0.2146,0.2151,0.2170,0.2197,0.2152
tta_full,0.2150,0.2147,0.2169,0.2194,0.2149
