model,size_bin,mAP50,mAP50_95
pretrained50,all,0.1938556904500795,0.11405306326768562
pretrained50,small_lt32,0.10652863601543787,0.044999122120434894
pretrained50,medium_32_96,0.3004785088506094,0.17831164492367835
pretrained50,large_ge96,0.43677458244780853,0.33966705413733195
full_ft,all,0.20723105406901135,0.12237462273631587
full_ft,small_lt32,0.11487917658690844,0.050502627729328946
full_ft,medium_32_96,0.3181123430050275,0.19147714153878487
full_ft,large_ge96,0.42363550748672085,0.32453394437911826
freeze10,all,0.15192389949294235,0.08849949713714345
freeze10,small_lt32,0.07150843346120675,0.028832537347494025
freeze10,medium_32_96,0.2452615852127891,0.14109419574316254
freeze10,large_ge96,0.4733248268276471,0.35540818791664597
freeze20,all,0.10711675285405393,0.060235257315893166
freeze20,small_lt32,0.050237585293935114,0.0197868603046712
freeze20,medium_32_96,0.17923013325822557,0.0992894935088553
freeze20,large_ge96,0.37302801097506677,0.27123006001263733
