label,n,delta,lo,hi,t,p,g
Pretraining vs from scratch (both 50 epochs),5,0.10956,0.10522963561357854,0.11389036438642147,70.24520307789746,2.4609230254403586e-07,25.131687868072987
Pretraining vs from scratch (both 100 epochs),2,0.0853,0.07767627715829514,0.09292372284170486,142.16666666666592,0.0044779081358100594,100.52701405868696
Training duration: 100 vs 50 epochs (no mixup),5,0.012439999999999996,0.006533541266223606,0.018346458733776386,5.847662476865811,0.00426543973573787,2.092123329239479
Freeze 10 modules vs unfrozen,5,-0.04104000000000001,-0.04450288491433635,-0.037577115085663665,-32.90473403998615,5.086843091973364e-06,-11.772355535193652
Freeze 20 modules vs unfrozen,5,-0.09446,-0.09677895503227435,-0.09214104496772565,-113.09533862748737,3.6656086874654085e-08,-40.462218417507124
NEU-DET: pretraining vs from scratch,5,0.04834000000000003,0.02538892331848819,0.07129107668151187,5.847802185828457,0.004265067865386749,2.092173313037486
AI-TOD (1617): pretraining vs from scratch,3,0.10783333333333335,0.07018710258630254,0.14547956408036417,12.324457902368994,0.006519303146125783,4.066016621456542
TTA flip-only vs no TTA,5,0.0010199999999999931,0.0005775074638784277,0.0014624925361215585,6.400049212409103,0.0030608610699769507,2.289751215726519
TTA multi-scale vs no TTA,5,-0.011319999999999997,-0.013343950404566474,-0.00929604959543352,-15.528719735388513,0.00010039137573695138,-5.555723669099402
TTA multi-scale+flip vs no TTA,5,-0.011459999999999998,-0.013818507998681112,-0.009101492001318883,-13.490758107820485,0.00017468789654439797,-4.8266003515348865
