scratch50_s2_p0	mAP50=0.1004	mAP50-95=0.0509
exp1_50_s2_p0	mAP50=0.2095	mAP50-95=0.1194
scratch50_s3_p0	mAP50=0.1007	mAP50-95=0.0512
exp1_50_s3_p0	mAP50=0.2122	mAP50-95=0.1219
neudet_scratch_s1_p0	mAP50=0.7020	mAP50-95=0.3638
neudet_proposed_s1_p0	mAP50=0.7315	mAP50-95=0.3978
decouple100_nomixup_s1_p0	mAP50=0.2216	mAP50-95=0.1249
decouple100_nomixup_s2_p0	mAP50=0.2283	mAP50-95=0.1289
decouple100_nomixup_s3_p0	mAP50=0.2200	mAP50-95=0.1242
neudet_scratch_s2_p0	mAP50=0.6857	mAP50-95=0.3600
neudet_proposed_s2_p0	mAP50=0.7614	mAP50-95=0.4090
neudet_scratch_s3_p0	mAP50=0.6938	mAP50-95=0.3607
neudet_proposed_s3_p0	mAP50=0.7270	mAP50-95=0.3927
aitod_b1617_scratch_s1_p0	mAP50=0.1406	mAP50-95=0.0464
aitod_b1617_pretrain_s1_p0	mAP50=0.2335	mAP50-95=0.0904
aitod_b1617_scratch_s2_p0	mAP50=0.1440	mAP50-95=0.0529
aitod_b1617_pretrain_s2_p0	mAP50=0.2514	mAP50-95=0.1038
aitod_b647_scratch_s1_p0	mAP50=0.0356	mAP50-95=0.0102
aitod_b647_pretrain_s1_p0	mAP50=0.1822	mAP50-95=0.0708
aitod_b647_scratch_s2_p0	mAP50=0.0337	mAP50-95=0.0096
aitod_b647_pretrain_s2_p0	mAP50=0.1673	mAP50-95=0.0666
smoke_staged2	mAP50=0.0795	mAP50-95=0.0400
staged_linear_s1_p0	mAP50=0.2201	mAP50-95=0.1261
staged_late_s1_p0	mAP50=0.2264	mAP50-95=0.1295
staged_linear_s2_p0	mAP50=0.2190	mAP50-95=0.1251
staged_late_s2_p0	mAP50=0.2213	mAP50-95=0.1267
aitod_b3235_scratch_s1_p0	mAP50=0.1994	mAP50-95=0.0779
scale10_s1_p0	mAP50=0.1851	mAP50-95=0.1055
scale50_s1_p0	mAP50=0.2508	mAP50-95=0.1443
scale100_s1_p0	mAP50=0.2781	mAP50-95=0.1619
aitod_b3235_pretrain_s1_p0	mAP50=0.2886	mAP50-95=0.1174
aitod_b1617_scratch_s3_p0	mAP50=0.1474	mAP50-95=0.0536
aitod_b1617_pretrain_s3_p0	mAP50=0.2706	mAP50-95=0.1081
scratch200_s42_p0	mAP50=0.1755	mAP50-95=0.0968
scratch200_s7_p0	mAP50=0.1725	mAP50-95=0.0929
cutmix_only_s42_p0	mAP50=0.2132	mAP50-95=0.1220
cutmix_only_s7_p0	mAP50=0.2099	mAP50-95=0.1193
mixup03_50ep_s42_p0	mAP50=0.2131	mAP50-95=0.1218
mixup03_50ep_s7_p0	mAP50=0.2103	mAP50-95=0.1196
freeze2_s42_p0	mAP50=0.2109	mAP50-95=0.1201
freeze2_s7_p0	mAP50=0.2047	mAP50-95=0.1177
freeze4_s42_p0	mAP50=0.1972	mAP50-95=0.1129
freeze4_s7_p0	mAP50=0.1982	mAP50-95=0.1138
freeze6_s42_p0	mAP50=0.1878	mAP50-95=0.1072
freeze6_s7_p0	mAP50=0.1834	mAP50-95=0.1024
freeze8_s42_p0	mAP50=0.1765	mAP50-95=0.0991
freeze8_s7_p0	mAP50=0.1712	mAP50-95=0.0964
nomosaic_nomixup_s42_p0	mAP50=0.2091	mAP50-95=0.1202
nomosaic_nomixup_s7_p0	mAP50=0.2034	mAP50-95=0.1158
nomosaic_mixup03_s42_p0	mAP50=0.2026	mAP50-95=0.1165
nomosaic_mixup03_s7_p0	mAP50=0.2049	mAP50-95=0.1182
