scratch50_p0	mAP50=0.1040	mAP50-95=0.0530
exp1_50_p0	mAP50=0.2112	mAP50-95=0.1203
mixup01_p0	mAP50=0.2106	mAP50-95=0.1205
distill_p0	mAP50=0.2116	mAP50-95=0.1225
freeze10_p0	mAP50=0.1681	mAP50-95=0.0955
freeze20_p0	mAP50=0.1174	mAP50-95=0.0638
mixup05_p0	mAP50=0.2102	mAP50-95=0.1206
mixup_cutmix_p0	mAP50=0.2087	mAP50-95=0.1196
decouple50_mixup03_p0	mAP50=0.2157	mAP50-95=0.1240
decouple100_nomixup_p0	mAP50=0.2234	mAP50-95=0.1265
proposed100_p0	mAP50=0.2263	mAP50-95=0.1303
scale10_p0	mAP50=0.1881	mAP50-95=0.1067
scale50_p0	mAP50=0.2526	mAP50-95=0.1467
scale100_p0	mAP50=0.2768	mAP50-95=0.1602
neudet_scratch_p0	mAP50=0.6957	mAP50-95=0.3671
neudet_proposed_p0	mAP50=0.7449	mAP50-95=0.4051
v5n_p0	mAP50=0.1939	mAP50-95=0.1106
v8s_p0	mAP50=0.2744	mAP50-95=0.1599
scratch50_s7_p0	mAP50=0.1010	mAP50-95=0.0517
exp1_50_s7_p0	mAP50=0.2066	mAP50-95=0.1187
proposed100_s7_p0	mAP50=0.2330	mAP50-95=0.1334
scratch50_s1_p0	mAP50=0.0992	mAP50-95=0.0511
exp1_50_s1_p0	mAP50=0.2136	mAP50-95=0.1224
proposed100_s1_p0	mAP50=0.2234	mAP50-95=0.1274
scratch100_nomixup_p0	mAP50=0.1387	mAP50-95=0.0737
scratch100_mixup03_p0	mAP50=0.1374	mAP50-95=0.0730
v5n_rec_p0	mAP50=0.2095	mAP50-95=0.1199
v8s_rec_p0	mAP50=0.2856	mAP50-95=0.1668
mixup01_s7_p0	mAP50=0.2148	mAP50-95=0.1233
freeze10_s7_p0	mAP50=0.1689	mAP50-95=0.0961
freeze20_s7_p0	mAP50=0.1150	mAP50-95=0.0638
mixup05_s7_p0	mAP50=0.2121	mAP50-95=0.1217
mixup_cutmix_s7_p0	mAP50=0.2146	mAP50-95=0.1229
decouple50_mixup03_s7_p0	mAP50=0.2106	mAP50-95=0.1218
distill_s7_p0	mAP50=0.2136	mAP50-95=0.1240
decouple100_nomixup_s7_p0	mAP50=0.2220	mAP50-95=0.1251
neudet_scratch_s7_p0	mAP50=0.6939	mAP50-95=0.3646
neudet_proposed_s7_p0	mAP50=0.7480	mAP50-95=0.4063
v5n_rec_s7_p0	mAP50=0.2124	mAP50-95=0.1209
v8s_rec_s7_p0	mAP50=0.2919	mAP50-95=0.1718
scale10_s7_p0	mAP50=0.1827	mAP50-95=0.1040
scale50_s7_p0	mAP50=0.2491	mAP50-95=0.1443
scratch100_nomixup_s7_p0	mAP50=0.1361	mAP50-95=0.0716
scale100_s7_p0	mAP50=0.2791	mAP50-95=0.1617
scratch100_mixup03_s7_p0	mAP50=0.1322	mAP50-95=0.0700
